,age,sport_licence,niveau_etude,smoker,revenu_estime_mois,situation_familiale,historique_credits,risque_personnel,date_creation_compte,score_credit,loyer_mensuel,montant_pret,imc
2529,37,oui,master,oui,3913,célibataire,3.0,0.63,1620432000.0,452.0,5000.0,6715.61537709786,29.592040506068187
2530,32,non,bac,oui,3129,célibataire,5.0,0.87,1688428800.0,810.0,10000.0,500.0,21.42991552659163
2531,53,non,aucun,non,500,marié,2.0,0.14,1733702400.0,,5000.0,500.0,34.10156249999999
2532,64,non,bac+2,non,1457,,2.0,0.87,1586217600.0,,1136.31,500.0,31.618517507648246
2533,22,non,bac+2,oui,3275,divorcé,,0.45,1722729600.0,375.0,10000.0,11803.78867034029,22.960691684999542
2534,49,non,master,oui,1810,veuf,5.0,0.71,1630972800.0,614.0,10000.0,3500.557576010081,20.411979405311964
2535,52,non,master,non,1048,marié,,0.17,1612396800.0,490.0,10000.0,500.0,45.37577179326132
2536,30,non,bac,non,1877,marié,,0.91,1701993600.0,,5000.0,7809.853114437147,12.324670034970426
2537,60,oui,bac,non,5257,,5.0,0.85,1606608000.0,,1171.71,500.0,29.72650555747966
2538,59,non,doctorat,non,3378,,,0.65,1617926400.0,606.0,10000.0,16138.751573772435,17.694411820372647
2539,30,non,aucun,oui,3717,divorcé,0.0,0.59,1745020800.0,577.0,,10383.823143375228,26.797155167224222
2540,20,oui,aucun,non,1740,divorcé,,0.85,1614643200.0,,5000.0,714.5934669729961,25.370347498201845
2541,25,non,bac,non,1469,veuf,,0.76,1729209600.0,,,500.0,27.68061516694426
2542,43,non,aucun,non,500,,5.0,0.23,1651622400.0,542.0,10000.0,500.0,34.54734651404786
2543,63,non,master,non,3414,célibataire,,0.77,1623888000.0,744.0,10000.0,500.0,22.67392843533698
2544,62,oui,aucun,non,2523,marié,0.0,0.24,1722902400.0,,10000.0,5463.838884794415,28.567610010357846
2545,63,oui,master,non,2042,marié,1.0,0.33,1656979200.0,,,31524.824994830004,37.80598111820906
2546,74,oui,bac+2,non,2313,divorcé,1.0,0.97,1700006400.0,630.0,5000.0,21209.767171711654,26.534534810174648
2547,27,non,master,non,3534,,,0.11,1704499200.0,522.0,5000.0,500.0,28.498797350751794
2548,56,oui,aucun,oui,3070,veuf,5.0,0.88,1667865600.0,557.0,1175.8,500.0,24.771900542849803
2549,28,oui,doctorat,oui,1810,veuf,,0.78,1596240000.0,691.0,5000.0,22315.06238359706,27.514936090457503
2550,50,non,bac,oui,3439,,2.0,0.25,1732060800.0,,10000.0,500.0,29.57332726551378
2551,30,non,master,oui,2860,,2.0,0.29,1706572800.0,438.0,10000.0,500.0,35.102452079227774
2552,29,non,bac+2,non,1089,marié,4.0,0.6,1683849600.0,331.0,10000.0,9854.969839738727,17.103712963415873
2553,37,oui,master,non,1939,veuf,,0.35,1726444800.0,,,7914.959573756707,22.48428240705411
2554,39,oui,aucun,non,3826,veuf,4.0,0.2,1633132800.0,,,17034.78333874209,24.15445658313737
2555,44,non,doctorat,oui,4366,veuf,,0.16,1580947200.0,,10000.0,500.0,24.671701521310457
2556,55,non,doctorat,non,829,,2.0,0.71,1712448000.0,,5000.0,500.0,28.660886661997576
2557,59,oui,bac,non,1320,veuf,,0.48,1719705600.0,,5000.0,16215.231385224684,22.847094986336035
2558,72,non,aucun,non,2960,célibataire,,0.67,1720742400.0,,298.96,500.0,29.245442480616006
2559,21,oui,bac,non,3432,divorcé,4.0,0.96,1604448000.0,,,500.0,28.702029695791744
2560,74,oui,bac,non,1358,,,1.0,1581033600.0,,808.75,8761.853136491114,40.98264382936454
2561,41,oui,bac+2,non,3007,,,0.44,1687132800.0,,,500.0,19.91698766759234
2562,62,oui,aucun,oui,3202,marié,,0.46,1736467200.0,703.0,5000.0,500.0,29.610600324499732
2563,22,oui,bac,non,4367,célibataire,,0.57,1605225600.0,834.0,,500.0,32.009812951511854
2564,68,non,doctorat,oui,2281,divorcé,2.0,0.74,1614297600.0,732.0,544.41,3486.6993100519944,19.63303204796225
2565,75,oui,master,non,2026,marié,,0.52,1580083200.0,,5000.0,27897.541404321382,20.146938775510204
2566,64,non,bac,non,1201,divorcé,4.0,0.43,1679529600.0,,,19350.647648909504,19.789905162528875
2567,32,non,bac,oui,500,,3.0,0.45,1741564800.0,,,6475.156153333484,27.053999783568
2568,51,oui,doctorat,oui,500,veuf,,0.94,1658620800.0,,,500.0,42.83828060051837
2569,58,oui,master,oui,3118,,1.0,0.98,1658102400.0,434.0,,9533.14406366308,29.76152241963318
2570,50,non,doctorat,non,3528,célibataire,5.0,0.77,1702339200.0,,,16014.71620420976,19.173395326004577
2571,27,non,bac,oui,500,,4.0,0.52,1678406400.0,848.0,5000.0,3920.802343532031,31.325108155744267
2572,23,oui,doctorat,oui,3604,divorcé,3.0,0.83,1617926400.0,515.0,10000.0,32721.068897569305,23.881577663618653
2573,42,oui,bac+2,oui,4107,marié,0.0,0.88,1724025600.0,522.0,10000.0,24216.57511217492,25.827081059971498
2574,23,oui,doctorat,non,3539,marié,0.0,0.41,1611360000.0,,,25905.941031637856,14.253131051682567
2575,22,non,doctorat,oui,3393,célibataire,2.0,0.42,1603238400.0,,664.17,3973.117689104547,21.608275752600434
2576,72,oui,master,oui,2312,divorcé,3.0,0.81,1659398400.0,451.0,576.59,19604.61050237008,27.698046689792537
2577,52,non,bac,oui,545,marié,,0.52,1682208000.0,,,500.0,20.38567493112948
2578,36,non,bac,oui,2767,,2.0,0.12,1650326400.0,,10000.0,4735.506150272061,42.10072688356029
2579,37,non,aucun,oui,3436,divorcé,4.0,0.32,1631923200.0,,10000.0,500.0,24.33127775176172
2580,33,oui,master,oui,3695,veuf,1.0,0.91,1703116800.0,,940.87,4604.910372466635,19.828298780751286
2581,31,non,aucun,non,1789,veuf,,0.36,1717718400.0,,883.33,500.0,13.636103916225945
2582,54,oui,aucun,oui,2188,,4.0,0.86,1679270400.0,486.0,10000.0,15638.627138770684,28.87094886906703
2583,54,oui,bac,oui,500,marié,0.0,0.08,1590624000.0,502.0,10000.0,500.0,23.88977486150228
2584,45,non,bac+2,oui,3509,,,0.81,1733529600.0,457.0,,500.0,27.44537068340326
2585,34,oui,bac,non,2303,veuf,,0.88,1704931200.0,,10000.0,500.0,36.08660640902468
2586,24,oui,aucun,oui,3722,marié,1.0,0.18,1712016000.0,392.0,,500.0,26.249339984174753
2587,46,non,bac+2,non,2919,marié,4.0,0.27,1705968000.0,817.0,1267.52,500.0,26.456599286563613
2588,56,non,bac+2,oui,2080,célibataire,1.0,0.14,1657411200.0,,1043.11,500.0,29.047831555032655
2589,53,oui,aucun,oui,794,,4.0,1.0,1593216000.0,,,500.0,21.996998756067978
2590,65,non,aucun,non,3685,,1.0,0.68,1621036800.0,302.0,,500.0,26.60123966942149
2591,71,non,bac,oui,1935,divorcé,,0.23,1738022400.0,355.0,772.55,2208.5058794575866,28.666246586851496
2592,55,non,aucun,non,3611,divorcé,,0.68,1670284800.0,628.0,5000.0,500.0,20.76757985102891
2593,28,oui,aucun,oui,3641,,,0.0,1634774400.0,,,500.0,37.07721211664451
2594,47,oui,master,oui,1901,,,0.77,1717113600.0,347.0,,11859.51542362792,23.617830899294106
2595,42,non,aucun,non,1727,veuf,,0.82,1696982400.0,,5000.0,7369.473481598813,27.13490424004762
2596,54,oui,master,oui,4185,célibataire,,0.21,1680393600.0,,10000.0,15729.586762839284,22.392158215873337
2597,66,non,master,oui,2513,célibataire,2.0,0.33,1666483200.0,,5000.0,1781.1275821825484,38.51870408507025
2598,63,oui,master,non,1151,marié,3.0,0.1,1731456000.0,800.0,5000.0,26998.421826954,26.549241177677377
2599,37,non,master,oui,3224,,3.0,0.65,1695859200.0,464.0,5000.0,500.0,28.73449812964836
2600,33,non,master,non,2422,,3.0,0.97,1719964800.0,831.0,10000.0,16920.48060456624,21.33910123966942
2601,67,oui,master,non,3554,,,0.76,1732752000.0,,,12333.778691201793,29.10196735306594
2602,38,oui,bac,oui,2406,,,0.8,1728086400.0,689.0,103.08,17414.106839029228,21.29752746809072
2603,26,non,master,oui,1450,célibataire,0.0,0.85,1648771200.0,819.0,10000.0,500.0,28.544213316710376
2604,40,oui,bac,oui,1397,célibataire,,0.97,1608681600.0,,996.0,500.0,41.607275763619384
2605,70,non,doctorat,non,2819,,,0.69,1584316800.0,531.0,,17585.09257910721,35.32906474096971
2606,72,non,aucun,non,2861,,0.0,0.13,1627689600.0,389.0,,500.0,19.64545097063615
2607,37,oui,bac+2,non,1722,célibataire,5.0,0.35,1630627200.0,562.0,1137.42,14892.577252226496,30.982959721453767
2608,67,non,bac+2,non,1803,célibataire,,0.07,1693699200.0,353.0,870.08,500.0,17.792063376108963
2609,64,oui,doctorat,non,2970,marié,,1.0,1691107200.0,745.0,5000.0,14106.38641052308,21.19697444361839
2610,36,oui,aucun,non,3576,,,0.57,1580342400.0,,10000.0,500.0,19.21156707651343
2611,44,oui,master,non,1243,veuf,,0.12,1696291200.0,,,10704.109285767092,38.28970997685492
2612,21,oui,master,non,4176,,3.0,0.8,1690588800.0,,5000.0,15627.706691694066,20.02355393349334
2613,46,oui,doctorat,oui,500,veuf,,0.94,1705104000.0,744.0,5000.0,6132.823138851769,21.58289940844322
2614,30,non,master,oui,2314,veuf,,0.88,1578441600.0,521.0,5000.0,500.0,32.54768200566205
2615,37,oui,bac+2,oui,2444,veuf,,0.34,1701043200.0,455.0,919.24,500.0,19.380668934240365
2616,69,oui,aucun,oui,3506,veuf,0.0,0.96,1739577600.0,,10000.0,500.0,27.192182354628876
2617,41,oui,doctorat,non,2750,célibataire,4.0,0.29,1636329600.0,,,16523.76395930069,22.954574877515828
2618,41,oui,master,non,2602,veuf,5.0,0.07,1593475200.0,338.0,10000.0,16355.90655215893,21.77681881381465
2619,42,non,doctorat,oui,500,veuf,5.0,0.77,1641945600.0,463.0,,500.0,19.190117189422757
2620,21,non,doctorat,oui,500,,1.0,0.17,1646352000.0,,10000.0,500.0,20.054552650134468
2621,65,oui,bac,oui,2752,veuf,,0.77,1661472000.0,536.0,5000.0,6121.315263757373,31.129287493825636
2622,56,non,aucun,oui,1201,divorcé,,0.05,1627344000.0,,,500.0,19.38097176192414
2623,43,oui,aucun,non,3317,veuf,,0.8,1641427200.0,651.0,5000.0,30125.78325347064,20.714168020149238
2624,67,oui,doctorat,oui,659,divorcé,,0.83,1667088000.0,,,18345.053800117897,20.333435654319825
2625,26,non,master,oui,2173,veuf,,0.09,1614729600.0,491.0,10000.0,13643.688062808213,19.8885443314988
2626,24,non,doctorat,non,3999,,5.0,0.49,1742083200.0,562.0,5000.0,10444.075135209612,29.688581314878896
2627,30,non,master,non,1982,veuf,,0.24,1666915200.0,524.0,5000.0,12665.709421958209,26.119587078350058
2628,68,oui,aucun,oui,1845,divorcé,,0.04,1714867200.0,409.0,,500.0,24.19607979910715
2629,20,oui,bac,oui,2495,célibataire,1.0,0.83,1681603200.0,753.0,5000.0,14865.335014598111,18.639085180619276
2630,30,non,master,non,2966,,,0.55,1693612800.0,,10000.0,500.0,25.27318554503025
2631,25,non,bac,oui,1928,,2.0,0.58,1732406400.0,,,500.0,26.0788732731153
2632,59,non,master,non,3713,marié,0.0,0.44,1662076800.0,657.0,,500.0,25.831333407423212
2633,46,oui,master,non,1558,divorcé,,0.64,1612569600.0,519.0,,24225.31791787086,24.853589915766385
2634,36,non,aucun,non,2448,célibataire,,0.24,1647216000.0,,,500.0,29.643544252323696
2635,27,non,doctorat,oui,4293,veuf,,0.07,1745539200.0,706.0,,29927.217002460013,23.11959664845571
2636,19,non,bac,oui,3447,divorcé,,0.91,1672704000.0,,,500.0,19.60114993412947
2637,20,oui,bac,oui,1704,,3.0,0.51,1646697600.0,,447.99,500.0,24.177095100815663
2638,32,oui,bac,non,3231,,,0.94,1665446400.0,,611.17,10931.480294130806,16.159567689442216
2639,53,non,bac+2,oui,2170,marié,3.0,0.85,1696723200.0,365.0,10000.0,3043.513291368942,14.63652579586829
2640,71,non,bac,non,4287,,3.0,0.65,1685923200.0,,5000.0,5572.389723945767,25.034137460172968
2641,42,non,aucun,non,1202,divorcé,,0.87,1696291200.0,,869.09,500.0,28.56936497363754
2642,39,non,doctorat,non,2412,célibataire,4.0,0.79,1585440000.0,,1281.03,500.0,29.336610121279033
2643,51,non,master,non,2308,veuf,,0.25,1632787200.0,700.0,10000.0,831.985784179443,32.41841807102247
2644,65,oui,master,non,3896,,,0.3,1579564800.0,338.0,,13019.99429043204,38.13553918084488
2645,32,non,doctorat,non,1669,divorcé,,0.34,1648080000.0,,10000.0,40104.088345487726,15.262497878626693
2646,35,non,master,oui,1985,veuf,3.0,0.61,1698451200.0,401.0,956.99,500.0,22.610441615305067
2647,39,oui,bac+2,non,836,,,0.65,1646006400.0,,10000.0,500.0,21.055112750790887
2648,25,non,bac,oui,2773,veuf,,0.15,1718928000.0,,10000.0,500.0,22.411022184892957
2649,31,oui,bac,non,4203,,3.0,0.53,1597363200.0,564.0,,5892.762293643281,17.358040100750184
2650,21,oui,master,oui,1543,,4.0,0.52,1618876800.0,,10000.0,9301.26896513782,23.349131428497437
2651,56,non,master,oui,2849,veuf,,0.04,1695686400.0,,,500.0,21.40851090162116
2652,60,oui,aucun,non,2992,célibataire,5.0,0.86,1578009600.0,570.0,5000.0,19991.65239752223,24.637271068525767
2653,55,oui,aucun,oui,4341,veuf,,0.86,1705708800.0,,5000.0,24549.243282132564,25.341286389956483
2654,49,oui,doctorat,oui,500,,,0.83,1629936000.0,,,25768.47754088107,33.54004716569133
2655,37,non,bac+2,non,3035,marié,2.0,0.41,1684022400.0,,,16890.512301637198,12.939690018212856
2656,68,non,aucun,oui,500,divorcé,,0.67,1602288000.0,836.0,,500.0,17.119190890784772
2657,52,oui,bac,non,665,,5.0,0.01,1611792000.0,,5000.0,500.0,19.817331254176878
2658,20,non,bac+2,oui,2838,célibataire,,0.32,1686700800.0,447.0,5000.0,6167.335196743631,25.802469135802465
2659,74,oui,aucun,oui,3075,,0.0,0.54,1596585600.0,,259.29,500.0,40.015776829574385
2660,55,oui,bac+2,oui,1763,divorcé,0.0,0.95,1726704000.0,810.0,,1225.8505268763674,29.856499414567523
2661,30,oui,aucun,non,3473,veuf,,0.91,1588550400.0,,676.99,11911.706851527037,23.87822573731138
2662,61,oui,aucun,non,5062,,1.0,0.73,1597968000.0,439.0,10000.0,8069.101379912342,39.13330037897511
2663,41,non,aucun,non,2139,divorcé,,0.04,1580342400.0,,,500.0,16.9546816382944
2664,23,non,doctorat,oui,1911,,,0.39,1704240000.0,,5000.0,500.0,25.12911004148151
2665,22,oui,master,non,3252,marié,5.0,0.14,1597881600.0,,5000.0,13015.662047007962,21.187415753071654
2666,43,non,aucun,non,5535,,,0.55,1708819200.0,376.0,218.04,10879.66448682499,19.7031908347324
2667,41,oui,doctorat,non,1350,divorcé,,0.88,1680912000.0,573.0,5000.0,40294.67145660929,23.022242936001774
2668,45,non,aucun,non,1871,marié,,0.83,1587081600.0,631.0,5000.0,500.0,22.99594944606345
2669,25,non,bac,oui,3319,célibataire,0.0,0.27,1703721600.0,483.0,405.31,500.0,11.810143956079031
2670,70,non,bac,non,3272,divorcé,,0.42,1686355200.0,571.0,5000.0,11973.114501683653,24.031878566358724
2671,66,non,aucun,oui,2052,divorcé,,0.77,1672012800.0,522.0,5000.0,4478.639840748207,23.420176232673636
2672,36,oui,aucun,non,3400,veuf,,0.99,1664150400.0,,841.13,5692.100311532642,18.36927379558853
2673,25,oui,doctorat,non,2623,marié,4.0,0.19,1595289600.0,819.0,,29465.015569620777,29.58061926120894
2674,60,non,aucun,oui,3992,,1.0,0.17,1671148800.0,591.0,783.04,500.0,24.681127604927827
2675,32,oui,bac,oui,3574,divorcé,2.0,0.47,1700611200.0,,359.96,500.0,20.23100907029479
2676,51,non,bac,oui,3967,célibataire,5.0,0.76,1688947200.0,,571.11,500.0,27.49083172363596
2677,54,oui,aucun,non,1952,célibataire,,0.14,1645920000.0,671.0,,1232.6068113577903,23.06828922495274
2678,57,non,bac+2,oui,3661,veuf,,0.93,1615939200.0,,5000.0,500.0,22.944371479069055
2679,72,oui,bac+2,non,3207,veuf,,0.15,1672790400.0,806.0,10000.0,35479.34583646985,25.030917332883675
2680,55,oui,master,non,2101,,2.0,0.69,1600819200.0,,684.62,17069.27744268564,21.920802727617662
2681,49,non,doctorat,oui,4248,marié,,0.72,1590796800.0,409.0,5000.0,25916.79844806148,24.90677748996612
2682,62,oui,bac+2,oui,4331,marié,3.0,0.15,1743638400.0,665.0,10000.0,47433.08839002554,23.658002230978504
2683,46,non,master,non,2857,veuf,,0.52,1646265600.0,310.0,,10604.838749470651,23.519194593173115
2684,68,oui,doctorat,oui,3114,marié,,0.82,1641859200.0,659.0,10000.0,19319.195847790572,18.65042328439168
2685,53,oui,bac,non,2784,divorcé,0.0,0.59,1660089600.0,,,26682.727052126305,20.83580880593243
2686,23,oui,bac,oui,2455,,,0.6,1581638400.0,,843.38,500.0,22.8437269055098
2687,41,oui,aucun,non,4222,,,0.03,1715040000.0,,10000.0,16780.56435533417,16.395513075276842
2688,49,oui,doctorat,oui,885,célibataire,,0.01,1682208000.0,,5000.0,500.0,26.18808176426387
2689,73,non,master,oui,2946,,,0.01,1714521600.0,,1024.1,500.0,23.235967965981832
2690,42,oui,doctorat,oui,2577,marié,,0.78,1617753600.0,763.0,5000.0,6876.098927546042,26.89926799800017
2691,67,oui,master,non,3780,veuf,0.0,0.97,1709769600.0,685.0,10000.0,28127.002076331035,35.385646605581
2692,59,non,bac+2,oui,2307,veuf,,0.06,1691798400.0,,10000.0,8026.520881271984,25.794543012095815
2693,59,non,doctorat,non,4011,,,0.16,1661817600.0,,,35923.40703851112,21.618754702079148
2694,63,oui,bac,oui,1662,célibataire,,0.14,1629504000.0,322.0,10000.0,5372.67970709596,11.940192743764175
2695,59,oui,bac+2,oui,1682,,,0.22,1739059200.0,,1256.4,10814.797198686954,24.63351364395021
2696,21,oui,bac,oui,1572,divorcé,,0.27,1655769600.0,725.0,5000.0,500.0,21.33884543991444
2697,50,non,doctorat,non,750,divorcé,4.0,0.22,1672790400.0,,5000.0,20429.494276792346,33.10466049474879
2698,27,oui,bac+2,oui,1297,veuf,4.0,0.32,1694563200.0,385.0,10000.0,500.0,25.491276400367315
2699,31,non,bac,oui,2395,divorcé,,0.88,1617580800.0,,5000.0,6456.431926491355,21.397375828820994
2700,26,non,doctorat,non,2431,divorcé,3.0,0.54,1668988800.0,,,3695.682344012468,23.986806013852693
2701,75,oui,bac,non,3656,marié,1.0,0.62,1685318400.0,,10000.0,30542.93476217789,20.095914490348502
2702,23,oui,bac,non,500,marié,1.0,0.56,1643414400.0,,1261.83,2669.522462637283,26.73140679249223
2703,62,oui,aucun,non,4621,,5.0,0.02,1648771200.0,605.0,10000.0,31884.527833777403,26.54620722326
2704,63,non,aucun,oui,2422,marié,,0.81,1661472000.0,,,500.0,22.696461087937283
2705,38,non,doctorat,non,3100,veuf,2.0,0.91,1688601600.0,,10000.0,15027.299612234465,13.583929667845753
2706,34,non,master,non,3358,divorcé,,0.18,1721260800.0,338.0,10000.0,5051.814792114114,16.312270929109665
2707,42,oui,doctorat,non,1779,veuf,1.0,0.63,1668988800.0,559.0,,45081.857426346505,22.924757979280212
2708,38,non,aucun,non,1455,veuf,5.0,0.01,1600041600.0,357.0,,500.0,27.639601799389624
2709,35,oui,doctorat,non,1103,divorcé,,0.54,1721088000.0,712.0,10000.0,2352.2414893533264,18.949141142120475
2710,36,non,bac+2,non,2426,divorcé,3.0,0.92,1589673600.0,,10000.0,5866.375322067914,21.63163575224872
2711,26,oui,aucun,non,3204,divorcé,,0.35,1653177600.0,569.0,1376.99,500.0,23.340891912320483
2712,68,non,master,non,3948,veuf,,0.14,1669939200.0,,,6915.632154860046,20.55706720043369
2713,31,non,bac,oui,3482,veuf,4.0,0.17,1642032000.0,603.0,,1437.0735569086846,21.555367709213865
2714,39,oui,master,oui,4245,veuf,,0.21,1581379200.0,462.0,64.36,33155.82905739895,17.778858732388713
2715,48,non,bac,non,2314,veuf,,0.66,1740268800.0,,,500.0,30.229746070133007
2716,59,non,bac,oui,2967,veuf,,0.99,1634342400.0,,,500.0,31.252291031723587
2717,31,non,master,non,3118,veuf,1.0,0.95,1640995200.0,,5000.0,23885.07008411928,14.304409700622658
2718,53,oui,bac,non,2216,marié,,0.99,1604534400.0,645.0,,500.0,29.76186535056762
2719,27,non,doctorat,non,1669,,,0.89,1683590400.0,396.0,,21225.533564152596,16.645320455764995
2720,46,oui,bac,oui,1689,veuf,2.0,0.45,1661731200.0,,10000.0,500.0,25.05279468009351
2721,52,non,bac,oui,2452,,,0.11,1625184000.0,,602.88,500.0,24.157019505812396
2722,26,oui,bac,non,4105,marié,1.0,0.64,1606089600.0,,925.72,500.0,15.053061224489797
2723,43,oui,doctorat,oui,3256,divorcé,,0.24,1620000000.0,,10000.0,500.0,17.875377408486425
2724,60,oui,doctorat,non,1187,célibataire,3.0,0.37,1670371200.0,491.0,10000.0,500.0,27.293045031020352
2725,28,oui,bac,oui,2170,divorcé,,0.5,1587340800.0,,10000.0,500.0,21.310019807390205
2726,47,non,aucun,non,2733,,2.0,0.51,1670803200.0,566.0,1084.53,500.0,27.246912998397583
2727,61,oui,bac,oui,3310,veuf,,0.42,1593561600.0,498.0,616.56,500.0,27.85001917653388
2728,68,non,doctorat,non,1090,divorcé,,0.08,1595980800.0,,,500.0,13.779591836734696
2729,61,non,aucun,non,2060,célibataire,1.0,0.92,1731283200.0,559.0,10000.0,500.0,27.69272722598599
2730,59,non,bac,oui,3518,veuf,,0.87,1580774400.0,,,19287.96212160466,27.745062283643804
2731,52,oui,doctorat,oui,1910,marié,,0.57,1618617600.0,373.0,5000.0,21132.049542767105,24.486647493552304
2732,31,oui,master,non,2552,divorcé,5.0,0.47,1668297600.0,,,31950.332444709336,25.673304680944327
2733,34,oui,bac,non,1803,célibataire,3.0,0.85,1623456000.0,,951.47,11631.873091826385,27.581631516022536
2734,60,oui,bac,non,3009,,4.0,0.99,1630454400.0,701.0,547.6,3794.441145924668,9.414858645627877
2735,72,non,doctorat,oui,1987,marié,,0.8,1745971200.0,,,1522.226719462283,22.497027348394766
2736,48,oui,bac,non,1344,,,0.42,1707782400.0,536.0,604.62,500.0,20.24554563797408
2737,75,non,aucun,non,4861,veuf,4.0,0.77,1681603200.0,,,500.0,23.45432310791337
2738,49,non,bac+2,non,2293,divorcé,,0.65,1639180800.0,374.0,10000.0,500.0,24.61764342086451
2739,21,non,bac+2,non,2992,divorcé,,0.28,1720051200.0,455.0,5000.0,500.0,24.574988205237492
2740,52,non,master,non,1351,divorcé,0.0,0.82,1706313600.0,,10000.0,500.0,30.181513746997013
2741,52,non,doctorat,non,1087,célibataire,,0.95,1596931200.0,700.0,,9820.51554943963,22.23615560728086
2742,58,oui,master,oui,2731,célibataire,,0.92,1667433600.0,348.0,10000.0,15191.887899649068,35.44932963577605
2743,61,non,bac,oui,3187,marié,5.0,0.38,1589241600.0,671.0,5000.0,12215.732423840973,23.99827046947306
2744,71,oui,aucun,oui,3464,,,1.0,1667174400.0,612.0,10000.0,500.0,22.953313349685953
2745,60,oui,aucun,oui,3341,divorcé,,0.48,1746403200.0,314.0,5000.0,9402.110423038688,22.04086537118075
2746,41,oui,bac+2,oui,2741,,0.0,0.82,1735171200.0,365.0,10000.0,500.0,19.38858492504093
2747,59,oui,bac+2,non,2812,marié,,0.66,1654560000.0,,5000.0,500.0,22.300336507892855
2748,46,non,aucun,oui,3068,marié,5.0,0.97,1626307200.0,,,4651.647352436719,21.630657651129148
2749,71,non,bac+2,non,785,,2.0,0.57,1597017600.0,756.0,10000.0,21197.901976377645,16.664029730945682
2750,57,oui,doctorat,non,3739,divorcé,5.0,0.86,1696550400.0,657.0,933.99,12758.391436261789,20.902629459752813
2751,30,non,master,non,2922,divorcé,4.0,0.7,1721347200.0,361.0,5000.0,21431.228825016853,24.397661835038388
2752,56,non,bac,oui,2171,,3.0,0.95,1595030400.0,,,500.0,24.358722511140293
2753,64,oui,bac,non,3361,,0.0,0.94,1649289600.0,,,11054.66510616586,14.863258026159338
2754,59,oui,aucun,oui,1745,marié,5.0,0.84,1705968000.0,,5000.0,500.0,21.9255993755939
2755,70,oui,bac,non,2241,divorcé,,0.52,1680739200.0,801.0,5000.0,500.0,36.22961574750995
2756,18,oui,bac+2,non,2123,,3.0,0.08,1710979200.0,,10000.0,500.0,20.388765592209516
2757,33,oui,bac+2,non,3048,divorcé,2.0,0.1,1675641600.0,328.0,10000.0,500.0,35.099203852499926
2758,37,oui,bac+2,non,1986,célibataire,2.0,0.25,1667952000.0,,,500.0,17.728448420815607
2759,54,non,bac+2,non,3074,,,0.39,1615507200.0,503.0,,36608.64510575152,31.476726305555704
2760,42,non,master,non,4373,marié,,0.23,1659744000.0,,,36087.73877565454,27.046313270499557
2761,23,oui,aucun,oui,3983,veuf,0.0,0.48,1707436800.0,611.0,10000.0,1258.528342916013,31.365005018400794
2762,52,oui,aucun,non,2164,célibataire,4.0,0.79,1717891200.0,,,12337.348938416131,16.236830595222564
2763,72,non,bac,oui,2637,veuf,1.0,0.51,1714262400.0,,,500.0,21.231205789586504
2764,58,non,bac+2,non,1737,,,0.17,1745712000.0,,1100.85,10398.308445165749,26.111273331686167
2765,63,non,aucun,non,2015,,,0.86,1663459200.0,,10000.0,7795.048140697468,32.61163647607515
2766,42,oui,bac+2,oui,1237,divorcé,,0.12,1601164800.0,612.0,10000.0,7383.463289963868,18.36143544517069
2767,35,non,bac+2,oui,4394,marié,2.0,0.12,1666569600.0,549.0,10000.0,500.0,18.427511483279012
2768,43,non,master,non,4176,divorcé,,0.71,1716508800.0,,997.38,31676.045255563404,33.92059666953846
2769,49,non,doctorat,non,2161,marié,,0.17,1708128000.0,,,4270.408770599389,25.252441468711496
2770,70,non,bac,non,1918,célibataire,,0.36,1673740800.0,399.0,615.96,4610.915167986471,25.160701886810717
2771,47,oui,master,oui,1818,,3.0,0.22,1645228800.0,568.0,,3854.049163303653,39.82306752255606
2772,43,oui,aucun,non,2506,,5.0,0.07,1595894400.0,,1101.46,500.0,23.45959398195282
2773,64,oui,bac,oui,3623,veuf,,0.78,1608768000.0,,5000.0,500.0,19.932236500717316
2774,72,oui,bac,oui,5256,célibataire,0.0,0.36,1579046400.0,,,28655.07992648522,22.70918727384652
2775,51,non,bac,non,2648,,0.0,0.53,1689465600.0,611.0,10000.0,500.0,38.08040190048647
2776,56,non,bac+2,non,2856,célibataire,,0.21,1606348800.0,,1050.61,500.0,17.10861526606053
2777,30,oui,doctorat,oui,2629,marié,,0.43,1653868800.0,546.0,10000.0,28065.67778865334,25.546263153086564
2778,28,non,aucun,non,2810,,4.0,0.08,1696636800.0,,952.7,500.0,27.770936570566022
2779,54,oui,bac,non,2272,,4.0,0.94,1736726400.0,414.0,5000.0,500.0,17.707541626580902
2780,20,oui,bac,oui,5465,veuf,,0.72,1738713600.0,339.0,10000.0,36964.61891756399,9.103800728055491
2781,55,non,bac+2,non,2008,veuf,5.0,0.31,1637625600.0,,5000.0,500.0,21.083906859135997
2782,67,non,bac+2,oui,3151,veuf,,0.72,1704326400.0,544.0,576.95,500.0,31.27803386349659
2783,29,non,bac+2,non,2236,célibataire,,0.14,1749168000.0,,10000.0,500.0,30.911083247599443
2784,34,non,doctorat,non,4324,marié,,0.91,1590019200.0,,907.69,22878.37606864017,35.70018858821982
2785,60,oui,bac,oui,1364,divorcé,,0.5,1673222400.0,,5000.0,500.0,31.78606555770323
2786,37,non,master,non,2344,,,0.01,1653004800.0,,,500.0,29.540273832520864
2787,27,non,bac,oui,4828,,,0.29,1602806400.0,,,500.0,31.234868275536375
